temperature,humidity,pressure,DATE
0.2564102564102564,0.8754191906915404,0.5806451612903274,2020-01-01 00:00:00
0.34615384615384603,0.6776450213569717,0.7096774193548399,2020-01-01 03:00:00
0.6153846153846154,0.4073194981993332,0.6989247311827995,2020-01-01 06:00:00
0.7307692307692306,0.34319548491871377,0.5591397849462396,2020-01-01 09:00:00
0.6025641025641024,0.44398280865476714,0.5376344086021518,2020-01-01 12:00:00
0.5128205128205128,0.5071913512592156,0.6989247311827995,2020-01-01 15:00:00
0.39743589743589736,0.7351108376064691,0.7150537634408636,2020-01-01 18:00:00
0.33333333333333326,0.8144535955313107,0.6344086021505433,2020-01-01 21:00:00
0.28205128205128194,0.8364924950721636,0.6451612903225836,2020-01-02 00:00:00
0.3846153846153846,0.7205720323596806,0.7688172043010795,2020-01-02 03:00:00
0.6538461538461537,0.4629226149220347,0.7473118279569917,2020-01-02 06:00:00
0.6794871794871795,0.44781752409545184,0.5967741935483915,2020-01-02 09:00:00
0.5641025641025641,0.5271112473989109,0.6075268817204318,2020-01-02 12:00:00
0.4487179487179487,0.7365296350013276,0.7311827956989276,2020-01-02 15:00:00
0.42307692307692313,0.7358216065685595,0.7365591397849514,2020-01-02 18:00:00
0.35897435897435903,0.792430593490881,0.6129032258064555,2020-01-02 21:00:00
0.2435897435897436,0.8994111426038262,0.6075268817204318,2020-01-03 00:00:00
0.4358974358974359,0.6536707945596828,0.7473118279569917,2020-01-03 03:00:00
0.7051282051282051,0.33696087639988437,0.6989247311827995,2020-01-03 06:00:00
0.6538461538461537,0.3835747146579189,0.5215053763440878,2020-01-03 09:00:00
0.5769230769230769,0.5276831715117904,0.5322580645161352,2020-01-03 12:00:00
0.47435897435897423,0.7161925298364579,0.6451612903225836,2020-01-03 15:00:00
0.46153846153846145,0.7368826256976496,0.672043010752688,2020-01-03 18:00:00
0.3846153846153846,0.815482628094545,0.5752688172043037,2020-01-03 21:00:00
0.3076923076923077,0.8603344891659991,0.5752688172043037,2020-01-04 00:00:00
0.41025641025641013,0.7497648206947084,0.7096774193548399,2020-01-04 03:00:00
0.6025641025641024,0.5526079535137464,0.6182795698924721,2020-01-04 06:00:00
0.7948717948717945,0.39104880044712065,0.42473118279570343,2020-01-04 09:00:00
0.6153846153846154,0.5713061706981349,0.43548387096774377,2020-01-04 12:00:00
0.5,0.6759321846595806,0.5860215053763511,2020-01-04 15:00:00
0.4358974358974359,0.7504397805663138,0.5752688172043037,2020-01-04 18:00:00
0.34615384615384603,0.7699305091200263,0.5000000000000071,2020-01-04 21:00:00
0.29487179487179493,0.8601362066454897,0.5107526881720474,2020-01-05 00:00:00
0.41025641025641013,0.7073174444498115,0.6612903225806477,2020-01-05 03:00:00
0.6282051282051282,0.48395509315731366,0.6021505376344152,2020-01-05 06:00:00
0.6538461538461537,0.5607916934048284,0.42473118279570343,2020-01-05 09:00:00
0.5384615384615383,0.5619983550573843,0.43010752688172005,2020-01-05 12:00:00
0.46153846153846145,0.6282629640940648,0.5645161290322562,2020-01-05 15:00:00
0.4358974358974359,0.6015042260933251,0.5967741935483915,2020-01-05 18:00:00
0.3846153846153846,0.6385619958094472,0.5053763440860308,2020-01-05 21:00:00
0.2564102564102564,0.7603225438534685,0.553763440860223,2020-01-06 00:00:00
0.39743589743589736,0.7069284503401344,0.7150537634408636,2020-01-06 03:00:00
0.7051282051282051,0.2766453508320529,0.6505376344086073,2020-01-06 06:00:00
0.7179487179487183,0.3093263093382326,0.4731182795698956,2020-01-06 09:00:00
0.5769230769230769,0.5101397773907829,0.4946236559139834,2020-01-06 12:00:00
0.5128205128205128,0.5981850478269694,0.6236559139784958,2020-01-06 15:00:00
0.4358974358974359,0.7080932213574908,0.6182795698924721,2020-01-06 18:00:00
0.3846153846153846,0.770871408771388,0.5376344086021518,2020-01-06 21:00:00
0.3205128205128205,0.8141950276260209,0.5752688172043037,2020-01-07 00:00:00
0.41025641025641013,0.6661924558640214,0.7096774193548399,2020-01-07 03:00:00
0.6794871794871795,0.3024933103059213,0.6451612903225836,2020-01-07 06:00:00
0.7820512820512822,0.2461378349323522,0.4731182795698956,2020-01-07 09:00:00
0.6025641025641024,0.4771115282802191,0.4731182795698956,2020-01-07 12:00:00
0.4871794871794872,0.6162946580638214,0.5806451612903274,2020-01-07 15:00:00
0.3717948717948718,0.7487474322463473,0.6021505376344152,2020-01-07 18:00:00
0.28205128205128194,0.8058051212598948,0.5268817204301115,2020-01-07 21:00:00
0.2435897435897436,0.8049918866003579,0.56989247311828,2020-01-08 00:00:00
0.39743589743589736,0.495965559026324,0.7150537634408636,2020-01-08 03:00:00
0.6538461538461537,0.29640043043688713,0.6451612903225836,2020-01-08 06:00:00
0.7179487179487183,0.3093263093382326,0.48924731182795966,2020-01-08 09:00:00
0.5897435897435896,0.5107266123701999,0.4946236559139834,2020-01-08 12:00:00
0.4871794871794872,0.6162946580638214,0.6236559139784958,2020-01-08 15:00:00
0.3846153846153846,0.685765347481737,0.6021505376344152,2020-01-08 18:00:00
0.3205128205128205,0.7915696846396861,0.5591397849462396,2020-01-08 21:00:00
0.23076923076923084,0.8512398996538358,0.5913978494623677,2020-01-09 00:00:00
0.33333333333333326,0.6567922259340618,0.7043010752688161,2020-01-09 03:00:00
0.6794871794871795,0.2887113721744201,0.655913978494624,2020-01-09 06:00:00
0.641025641025641,0.4138928038990001,0.48924731182795966,2020-01-09 09:00:00
0.5641025641025641,0.5271112473989109,0.45161290322581493,2020-01-09 12:00:00
