"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"43353099999","2021-01-01T00:00:00","4","9.946133","76.272022","2.43","COCHIN, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0240,1","+0231,1","10090,1","21,0190,3,1",,"1,1,02,1","1,1,02,1",,,"01,1,+00480,1,06,1","03,1,+02400,1,03,1",,,"9,MSL   ,+99999,+99999","04,99,1,01,1,99,9,00480,1,99,9,99,9",,,,,"10,1","SYN08243353 21495 40000 10240 20231 40090 71011 81530 333 56290 58003 6019/ 81616 83358=",
"43353099999","2021-01-01T03:00:00","4","9.946133","76.272022","2.43","COCHIN, IN","FM-12","99999","V020","140,1,N,0026,1","22000,1,9,N","004000,1,9,9","+0266,1","+0215,1","10114,1","24,0190,3,1",,"1,1,02,1","1,1,02,1",,,"01,1,+00480,1,06,1","03,1,+02400,1,03,1",,,"9,MSL   ,+99999,+99999","04,99,1,01,1,99,9,00480,1,99,9,99,9","240,M,+0310,1","240,N,+0236,1",,,"10,1","SYN11043353 21496 41405 10266 20215 40114 71011 81530 333 10310 20236 56290 58000 6019/ 81616 83358 555 00192 10420=",
"43353099999","2021-01-01T06:00:00","4","9.946133","76.272022","2.43","COCHIN, IN","FM-12","99999","V020","120,1,N,0031,1","22000,1,9,N","004000,1,9,9","+0296,1","+0196,1","10113,1",,,"1,1,02,1","1,1,02,1",,,"01,1,+00480,1,06,1","03,1,+00800,1,04,1",,,"9,MSL   ,+99999,+99999","04,99,1,01,1,99,9,00480,1,99,9,99,9",,,,,"10,1","SYN07643353 31496 41206 10296 20196 40113 71011 81530 333 56190 58005 81616 83495=",
"43353099999","2021-01-01T09:00:00","4","9.946133","76.272022","2.43","COCHIN, IN","FM-12","99999","V020","999,9,C,0000,1","02700,1,C,N","004000,1,9,9","+0308,1","+0184,1","10089,1",,,,,,,"01,1,+00480,1,06,1","06,1,+02700,1,04,1",,,"9,MSL   ,+99999,+99999","07,99,1,01,1,99,9,00480,1,99,9,99,9",,,,,,"SYN07043353 31496 70000 10308 20184 40089 81510 333 56220 58014 81616 86459=",
"43353099999","2021-01-01T12:00:00","4","9.946133","76.272022","2.43","COCHIN, IN","FM-12","99999","V020","340,1,N,0031,1","02700,1,C,N","004000,1,9,9","+0284,1","+0209,1","10087,1",,,"2,1,02,1","2,1,02,1",,,"01,1,+00480,1,06,1","06,1,+02700,1,04,1",,,"9,MSL   ,+99999,+99999","07,99,1,01,1,99,9,00480,1,99,9,99,9",,,,,"05,1","SYN08243353 31496 73406 10284 20209 40087 70522 81520 333 10310 56190 59008 81616 86459=",
"43353099999","2021-01-01T15:00:00","4","9.946133","76.272022","2.43","COCHIN, IN","FM-12","99999","V020","070,1,N,0021,1","02700,1,C,N","004000,1,9,9","+0268,1","+0217,1","10108,1",,,"2,1,02,1","2,1,02,1",,,"01,1,+00480,1,06,1","06,1,+02700,1,04,1",,,"9,MSL   ,+99999,+99999","07,99,1,01,1,99,9,00480,1,99,9,99,9",,,,,"05,1","SYN07643353 31496 70704 10268 20217 40108 70522 81520 333 56190 58001 81616 86459=",
"43353099999","2021-01-01T18:00:00","4","9.946133","76.272022","2.43","COCHIN, IN","FM-12","99999","V020","999,9,C,0000,1","02700,1,C,N","004000,1,9,9","+0260,1","+0215,1","10110,1",,,"2,1,02,1","2,1,02,1",,,"01,1,+00480,1,06,1","06,1,+02700,1,04,1",,,"9,MSL   ,+99999,+99999","07,99,1,01,1,99,9,00480,1,99,9,99,9",,,,,"05,1","SYN07643353 31496 70000 10260 20215 40110 70522 81520 333 56290 58002 81616 86459=",
"43353099999","2021-01-01T21:00:00","4","9.946133","76.272022","2.43","COCHIN, IN","FM-12","99999","V020","999,9,C,0000,1","02700,1,C,N","002000,1,9,9","+0250,1","+0211,1","10097,1",,,"2,1,02,1","2,1,02,1",,,"01,1,+00480,1,06,1","06,1,+02700,1,04,1",,,"9,MSL   ,+99999,+99999","07,99,1,01,1,99,9,00480,1,99,9,99,9",,,,,"10,1","SYN07643353 31495 70000 10250 20211 40097 71022 81520 333 56290 58004 81616 86459=",
"43353099999","2021-01-02T00:00:00","4","9.946133","76.272022","2.43","COCHIN, IN","FM-12","99999","V020","999,9,C,0000,1","02700,1,C,N","002000,1,9,9","+0224,1","+0201,1","10098,1",,,"2,1,02,1","2,1,02,1",,,"01,1,+00480,1,06,1","06,1,+02700,1,04,1",,,"9,MSL   ,+99999,+99999","07,99,1,01,1,99,9,00480,1,99,9,99,9",,,,,"10,1","SYN07643353 31495 70000 10224 20201 40098 71022 81520 333 56590 58008 81616 86459=",
"43353099999","2021-01-02T03:00:00","4","9.946133","76.272022","2.43","COCHIN, IN","FM-12","99999","V020","070,1,N,0021,1","22000,1,9,N","004000,1,9,9","+0256,1","+0169,1","10118,1",,,"2,1,02,1","1,1,02,1",,,"01,1,+00480,1,06,1","99,9,+99999,9,03,1",,,"9,MSL   ,+99999,+99999","03,99,1,01,1,99,9,00480,1,99,9,99,9","240,M,+0310,1","240,N,+0224,1",,,"05,1","SYN09243353 31496 30704 10256 20169 40118 70521 81530 333 10310 20224 56130 58004 81616 555 10420=",
